headline	lead_paragraph	web_url
'Ted 2' Stumbles to $32.9 Million Opening,' Jurassic World' Tops With $54.2 Million	The party wasn't as wild the second time around.	http://www.nytimes.com/reuters/2015/06/28/arts/28reuters-usa-boxoffice.html
Dalai Lama Finds Joy in Glastonbury 'People's' Festival	The Dalai Lama, exiled spiritual leader of Tibet's Buddhists,  visited Europe's biggest green-field music festival on Sunday, saying he had witnessed a sense of joy among revellers young and old.	http://www.nytimes.com/reuters/2015/06/28/arts/28reuters-music-glastonbury-day3-dalailama.html
Luke Bryan, Paisley, Bentley Headline 1st NYC Country Fest	The Big Apple has a country music radio station, and country music stars of all sizes regularly perform and sell out New York City: Shania Twain is headlining Madison Square Garden this week.	http://www.nytimes.com/aponline/2015/06/28/arts/ap-us-country-music-festival.html
What&#8217;s On TV Sunday	Television highlights.	http://www.nytimes.com/2015/06/28/arts/whats-on-tv-sunday.html
Remembering What Made Ornette Coleman a Jazz Visionary	The funeral service at Riverside Church in Manhattan for the saxophonist and composer, who died on June 11 at age 85, was a joyful and music-filled affair.	http://www.nytimes.com/2015/06/28/arts/music/remembering-what-made-ornette-coleman-a-jazz-visionary.html
Gemma Chan Explains the Art of Being a Robot on &#8216;Humans&#8217;	The British actress plays an exquisite specimen of artificial intelligence in the new AMC drama set in a parallel universe to present-day London.	http://www.nytimes.com/2015/06/28/arts/television/gemma-chan-explains-the-art-of-being-a-robot-on-humans.html
Recalling Sarah Charlesworth&#8217;s Photographs	Laurie Simmons and Cindy Sherman discuss their friend&#8217;s art.	http://www.nytimes.com/2015/06/28/arts/design/recalling-sarah-charlesworths-photographs.html
Phil Austin (a.k.a. Nick Danger) of Firesign Theater Dies at 74	Mr. Austin was not only a voice-over artist but a writer, producer and guitarist for the comedy troupe, which was popular starting in the late 1960s.	http://www.nytimes.com/2015/06/26/arts/phil-austin-who-played-nick-danger-on-firesign-theater-dies-at-74.html
Harold Battiste, Musician, Mentor and Arranger, Dies at 83	Mr. Battiste lent his expertise to a long list of future stars, founded a collective record company and taught at universities.	http://www.nytimes.com/2015/06/26/arts/music/harold-battiste-musician-mentor-and-arranger-dies-at-83.html
Hearing Yoko Ono All Over Again	Rediscovering Yoko Ono&#8217;s early recordings and innovations.	http://www.nytimes.com/2015/06/28/arts/music/hearing-yoko-ono-all-over-again.html
Sara Mearns, in Her Prime at City Ballet, Inspires Debate and Awe	Ms. Mearns is probably the most talked-about ballerina in America and possibly the most argued-about ballerina anywhere.	http://www.nytimes.com/2015/06/28/arts/dance/sara-mearns-in-her-prime-at-city-ballet-inspires-debate-and-awe.html
Zane Lowe, the D.J. Scratching Out Beats 1 for Apple	Mr. Lowe, formerly Britain&#8217;s most influential radio jock, is in the mix of Apple&#8217;s revamped music strategy.	http://www.nytimes.com/2015/06/28/arts/music/zane-lowe-the-dj-scratching-out-beats-1-for-apple.html
The Friends John Singer Sargent Painted	&#8220;Sargent: Portraits of Artists and Friends,&#8221; which gives a sense of the painter&#8217;s social circle, opens Tuesday at the Metropolitan Museum of Art.	http://www.nytimes.com/2015/06/28/arts/design/the-friends-john-singer-sargent-painted.html
Five Boroughs Music Festival Features Ekmeles Ensemble	The festival&#8217;s season finale showcases works by Mathias Spahlinger, Wolfgang Rihm and Christopher Fisher-Lochhead.	http://www.nytimes.com/2015/06/28/arts/music/five-boroughs-music-festival-features-ekmeles-ensemble.html
Shania Twain Plays New York Arenas	The country star will have concerts at Madison Square Garden and Nassau Coliseum, part of a tour she says will be her last.	http://www.nytimes.com/2015/06/28/arts/music/shania-twain-plays-new-york-arenas.html
